produto,quantidade,preco_unitario,data_venda
Webcam 1080p,7,224.34,08/05/2023
Cabo HDMI 2m,1,354.45,05/07/2024
Pendrive 64GB,9,54.7,17/12/2025
Roteador Dual Band,7,40.13,24/01/2025
SSD 480GB,10,252.61,17/10/2026
Teclado Mecânico,1,375.83,19/01/2020
Webcam 1080p,1,110.25,17/05/2023
SSD 480GB,8,247.24,22/06/2022
Placa de Vídeo,1,307.59,22/01/2020
Roteador Dual Band,6,129.09,12/12/2023
Switch 8 Portas,10,229.3,19/06/2020
Cooler Fan 120mm,5,362.63
Gabinete ATX,7,295.47,16/12/2024
Fonte 500W,6,293.07,14/04/2022
Processador i5,3,484.7,19/02/2025
Roteador Dual Band,3,120.23,18/06/2024
Pendrive 64GB,5,427.18,19/02/2026
Cabo de Rede Cat6,1,210.46,02/10/2020
Cabo HDMI 2m,12,282.5,10/10/2022
Adaptador Wi-Fi,1,372.6,02/11/2025
Memória RAM 8GB,8,204.72,28/08/2022
Placa de Vídeo,7,168.19,26/07/2022
Webcam 1080p,9,468.07,02/10/2026
Pasta Térmica,7,460.35,23/11/2026
Cabo de Rede Cat6,1,321.5,02/06/2021
Cabo HDMI 2m,4,87.4,20/05/2025
Mousepad Extra Large,7,28.47,19/05/2023
Mouse Gamer RGB,7,19.07,20/10/2025
Cabo HDMI 2m,9,138.72,15/01/2024
Placa de Vídeo,9,313.97,20/03/2021
Cabo de Rede Cat6,9,210.21,13/01/2024
Mousepad Extra Large,3,192.54,02/09/2024
Switch 8 Portas,4,63.96,02/11/2023
Mousepad Extra Large,5,425.9,11/01/2023
Headset USB,3,146.09,11/07/2023
SSD 480GB,7,296.62,14/06/2020
Switch 8 Portas,6,14.75,20/01/2025
Switch 8 Portas,9,236.33,24/11/2025
Teclado Mecânico,1,41.28,25/02/2020
Gabinete ATX,5,250.74,22/06/2025
Gabinete ATX,7,156.53,01/02/2026
Cooler Fan 120mm,4,160.96,16/06/2020
Cabo de Rede Cat6,4,193.53,07/02/2024
Cabo HDMI 2m,10,64.96,15/05/2025
Webcam 1080p,8,165.6,11/08/2022
Teclado Mecânico,8,74.19,08/05/2026
Fonte 500W,4,342.11,08/08/2023
Roteador Dual Band,7,321.44,15/03/2020
Fonte 500W,5,125.81,04/07/2024
Roteador Dual Band,7,471.78,17/02/2021
Monitor 24 Pol,6,127.97,19/08/2023
Pasta Térmica,3,51.68,02/03/2026
Mousepad Extra Large,10,284.62,26/10/2025
Pendrive 64GB,7,91.18,04/05/2024
Mousepad Extra Large,3,105.06,11/12/2026
Webcam 1080p,8,115.58,08/10/2021
Roteador Dual Band,7,324.01,03/07/2023
Processador i5,5,169.15,20/06/2025
Fonte 500W,10,241.01,08/09/2022
Pasta Térmica,2,434.3,25/06/2024
Switch 8 Portas,9,302.07,11/10/2021
Teclado Mecânico,5,250.88,25/03/2022
Processador i5,2,411.08,26/05/2020
Monitor 24 Pol,5,229.99,07/12/2026
Headset USB,4,453.1,11/04/2020
Switch 8 Portas,2,87.76,10/02/2025
SSD 480GB,8,27.84,22/12/2025
Cabo HDMI 2m,9,466.1,15/04/2023
Pasta Térmica,10,25.09,03/11/2021
Roteador Dual Band,1,436.79,20/11/2025
Pendrive 64GB,3,279.75,18/05/2024
Memória RAM 8GB,9,344.26,15/01/2025
Mouse Gamer RGB,7,359.84,22/04/2021
Webcam 1080p,7,286.78,14/12/2021
Monitor 24 Pol,10,397.57,20/04/2025
Fonte 500W,4,397.8,03/09/2025
Adaptador Wi-Fi,4,118.24,03/11/2023
Teclado Mecânico,9,295.09,17/04/2021
Cabo HDMI 2m,2,152.46,07/11/2026
Processador i5,1,139.12,26/09/2020
Processador i5,10,297.48,02/01/2021
Headset USB,3,356.68,15/05/2021
